User,Rank,Game,Score
1SkyCaptain,1,Mage Knight Board Game,20
1SkyCaptain,2,A Feast for Odin,19
1SkyCaptain,3,Terra Mystica,18
1SkyCaptain,4,Spirit Island,17
1SkyCaptain,5,Concordia,16
1SkyCaptain,6,Orleans,15
1SkyCaptain,7,Lord of the Rings: The Card Game,14
1SkyCaptain,8,Caverna: The Cave Farmers,13
1SkyCaptain,9,Race for the Galaxy,12
1SkyCaptain,10,Ark Nova,11
1SkyCaptain,11,Scythe,10
1SkyCaptain,12,Roll for the Galaxy,9
1SkyCaptain,13,Root,8
1SkyCaptain,14,Everdell,7
1SkyCaptain,15,Maracaibo,6
1SkyCaptain,16,Nusfjord,5
1SkyCaptain,17,Robinson Crusoe: Adventures on the Cursed Island,4
1SkyCaptain,18,Praga Caput Regni,3
1SkyCaptain,19,Agricola,2
1SkyCaptain,20,Barrage,1
258678,1,Lord of the Rings: The Card Game,20
258678,2,Mage Knight Board Game,19
258678,3,Robinson Crusoe: Adventures on the Cursed Island,18
258678,4,Lord of the Rings: Journeys in Middle Earth,17
258678,5,Legendary Encounters: An Alien Deck Building Game,16
258678,6,After The Virus,15
258678,7,Arkham Horror: The Card Game,14
258678,8,Star Wars: Outer Rim,13
258678,9,Marvel Champions: The Card Game,12
258678,10,Gloomhaven,11
258678,11,Spirit Island,10
258678,12,Warp’s Edge,9
258678,13,Dawn of the Zeds,8
258678,14,Gears of War: The Board Game,7
258678,15,Dune: Imperium,6
258678,16,Maximum Apocalypse,5
258678,17,Space Hulk: Death Angel,4
258678,18,Skytear Horde,3
258678,19,Warfighter: The Tactical Special Forces Card Game,2
258678,20,Maquis,1
666lordevil666,1,Marvel United,20
666lordevil666,2,Legendary Encounters: An Alien Deck Building Game,19
666lordevil666,3,Eleven: Football Manager Board Game,18
666lordevil666,4,Ugly Gryphon Inn,17
666lordevil666,5,SpaceShipped,16
666lordevil666,6,Tears of a goddess,15
666lordevil666,7,Zombicide: Black Plague,14
aartdouglass,1,Meadow,20
aartdouglass,2,Everdell,19
aartdouglass,3,Final Girl,18
aartdouglass,4,Mosaic: A Story of Civilization,17
aartdouglass,5,Robinson Crusoe: Adventures on the Cursed Island,16
aartdouglass,6,Terraforming Mars,15
aartdouglass,7,Terraforming Mars: Ares Expedition,14
aartdouglass,8,Evergreen,13
aartdouglass,9,Iron Helm,12
aartdouglass,10,Under Falling Skies,11
aartdouglass,11,Age Of Civilization,10
aartdouglass,12,Tin Helm,9
aartdouglass,13,Cascadia,8
aartdouglass,14,Calico,7
aartdouglass,15,Founders of Gloomhaven,6
aartdouglass,16,Friday,5
aartdouglass,17,One Deck Dungeon,4
aartdouglass,18,Dustrunner,3
aartdouglass,19,Food Chain Island,2
aartdouglass,20,Doom Pilgrim,1
abecker,1,Lord of the Rings: The Card Game,20
abecker,2,John Company,19
abecker,3,Pax Pamir,18
abecker,4,Pax Renaissance,17
abecker,5,Spirit Island,16
abecker,6,After The Virus,15
abecker,7,King Is Dead,14
abecker,8,Twilight Struggle - Red Sea- Conflict in the Horn of Africa,13
abecker,9,Cascadia,12
abecker,10,Scythe,11
abecker,11,Dune: Imperium,10
abecker,12,Marvel United,9
abecker,13,Pax Transhumanity,8
abecker,14,Wingspan,7
abecker,15,7 Wonders: Duel,6
abecker,16,"Labyrinth: The War on Terror, 2001-?",5
abecker,17,Cartographers: A Roll Player Tale,4
abecker,18,Sprawlopolis,3
abecker,19,Pandemic: Fall of Rome,2
abecker,20,Pax Emancipation,1
abrocker,1,Hadrian's Wall,20
abrocker,2,Spirit Island,19
abrocker,3,Dune: Imperium,18
abrocker,4,Marvel United,17
abrocker,5,Final Girl,16
abrocker,6,Nusfjord,15
abrocker,7,Isle of Cats,14
abrocker,8,Glass Road,13
abrocker,9,Tapestry,12
abrocker,10,Underwater Cities,11
abrocker,11,Cascadia,10
abrocker,12,Great Western Trail,9
abrocker,13,Cloudspire,8
abrocker,14,Hallertau,7
abrocker,15,Ultimate Railroads,6
abrocker,16,Core Worlds,5
abrocker,17,Ancient Realm,4
abrocker,18,Legacy of Yu,3
abrocker,19,Heading Forward,2
abrocker,20,Ark Nova,1
