Country Name,Country Code,2000,2005,2010,2015,2020,2022
Aruba,ABW,1873184358,2359776536,2453631285,2963128492,2610038939,
Africa Eastern and Southern,AFE,2.85E+11,5.14E+11,8.64E+11,9.27E+11,9.28E+11,1.17E+12
Afghanistan,AFG,,6226198935,15633843662,19998143636,20143451706,
Africa Western and Central,AFW,1.41E+11,3.11E+11,5.99E+11,7.69E+11,7.86E+11,8.78E+11
Angola,AGO,9129594819,36970901025,81699526881,87219300385,50241368244,1.07E+11
Albania,ALB,3480355258,8052077209,11926926654,11386853143,15162734205,18882095518
Andorra,AND,1429048106,3159826892,3449925739,2789881259,2891001149,3352032737
Arab World,ARB,8.20E+11,1.30E+12,2.33E+12,2.55E+12,2.53E+12,3.56E+12
United Arab Emirates,ARE,1.04E+11,1.81E+11,2.90E+11,3.70E+11,3.49E+11,5.08E+11
Argentina,ARG,2.84E+11,1.99E+11,4.24E+11,5.95E+11,3.86E+11,6.33E+11
Armenia,ARM,1911563669,4900469515,9260285762,10553337528,12641698594,19502783988
American Samoa,ASM,,500000000,573000000,673000000,716000000,
Antigua and Barbuda,ATG,826370370.4,1022962963,1148700000,1336692593,1416348148,1757603704
Australia,AUS,4.16E+11,6.95E+11,1.15E+12,1.35E+12,1.33E+12,1.68E+12
Austria,AUT,1.97E+11,3.16E+11,3.92E+11,3.82E+11,4.35E+11,4.71E+11
Azerbaijan,AZE,5272617196,13245421881,52909294792,53076244755,42693000000,78721058824
Burundi,BDI,870486065.9,1117113080,2032135191,3104003546,2649680261,3073414678
Belgium,BEL,2.37E+11,3.86E+11,4.81E+11,4.62E+11,5.25E+11,5.79E+11
Benin,BEN,3519991440,6567654959,9535345011,11388160997,15651545209,17401746309
Burkina Faso,BFA,2968370087,6146353177,10109619736,11832159316,17933606213,18884619613
Bangladesh,BGD,53369787319,69442943089,1.15E+11,1.95E+11,3.74E+11,4.60E+11
Bulgaria,BGR,13245990274,29868651533,50754203891,50828088836,70404359049,89040398406
Bahrain,BHR,9062898936,15968723404,25713271277,31050638298,34621807713,44390820479
"Bahamas, The",BHS,8076470000,9836200000,10095760000,11672900000,9754600000,12897400000
Bosnia and Herzegovina,BIH,5567774049,11222796197,17176320823,16404352156,20226030731,24527507288
Belarus,BLR,12736856828,30210091837,57231904543,56454895055,61371755326,72793457588
Belize,BLZ,1116000000,1461500000,1738500000,2210500000,2080000000,2824081836
Bermuda,BMU,3480219000,4868136000,6634526000,6654541000,6887147000,7550500000
Bolivia,BOL,8397855937,9549122313,19649724656,33000198249,36629843806,43068885673
Brazil,BRA,6.55E+11,8.92E+11,2.21E+12,1.80E+12,1.48E+12,1.92E+12
Barbados,BRB,3059500000,3819500000,4529928300,4724691200,4671800000,5637914515
Brunei Darussalam,BRN,6001280944,9531417164,13707275498,12930292949,12005795915,16681531646
Bhutan,BTN,424448931,796938572,1547990907,2003596824,2325185521,
Botswana,BWA,5788329609,9918907108,12637273429,13530749290,14960291541,20352322157
Central African Republic,CAF,916777282.7,1337894380,2142591539,1695825714,2326720902,2382618615
Canada,CAN,7.45E+11,1.17E+12,1.62E+12,1.56E+12,1.65E+12,2.14E+12
Central Europe and the Baltics,CEB,4.29E+11,8.86E+11,1.32E+12,1.29E+12,1.67E+12,1.95E+12
Switzerland,CHE,2.79E+11,4.18E+11,5.99E+11,6.94E+11,7.40E+11,8.08E+11
Channel Islands,CHI,6439703435,8827272727,,,9811538462,
Chile,CHL,78249883996,1.22E+11,2.17E+11,2.42E+11,2.54E+11,3.01E+11
China,CHN,1.21E+12,2.29E+12,6.09E+12,1.11E+13,1.47E+13,1.80E+13
Cote d'Ivoire,CIV,16577533892,24036918719,34936307964,45815005171,62982768372,70018715017
Cameroon,CMR,10566579295,19509852219,27507501809,32210233022,40773241212,44341646509
"Congo, Dem. Rep.",COD,19088046306,11964484458,21565721036,37917706486,48716961865,58065953573
"Congo, Rep.",COG,3227927697,6650001685,13148396206,11890259177,10483151094,14615532210
Colombia,COL,99875074935,1.46E+11,2.86E+11,2.93E+11,2.70E+11,3.44E+11
Comoros,COM,351136579.8,653845169.2,907978731.7,966029599.8,1225039196,1242519407
